compound	noun	modifier	nounlemma	modifierlemma	order	number	gender	A-invar	hyphen	link-wiktionnary	freq-frWaC	related-expr	comment	Carlos-annot	examplesent1	examplesent2	examplesent3	regexp-freq	undefdet	etre	avoir	quedet
match nul	match	nul	match	nul	NA	S	M	no	no	https://fr.wiktionary.org/wiki/match_nul	3960			PC	Cette partie se solde par un<strong> match nul</strong> sans but.	La France et l'Ukraine font<strong> match nul</strong> 0- 0.	L'Olympique Lyonnais a fait un<strong> match nul</strong> face à Barcelone.	match nul	un	est	a	qu'
trou noir	trou	noir	trou	noir	NA	S	M	no	no	https://fr.wiktionary.org/wiki/trou_noir	3895			NC	Comment les<strong> trous noirs</strong> se forment-ils ?	La matière dont nous sommes fait proviendrait des<strong> trous noirs</strong>.	Combien de galaxies hébergent un<strong> trou noir</strong> géant en leur centre ?	trou noir	un	est	a	qu'
bouc émissaire	bouc	émissaire	bouc	émissaire	NA	S	M	yes	no	https://fr.wiktionary.org/wiki/bouc_%C3%A9missaire	3674			NC	Jérôme Kerviel, coupable ou<strong> bouc émissaire</strong> ?	La droite en a fait son<strong> bouc émissaire</strong>.	Les immigrés servent seulement de<strong> bouc émissaire</strong>.	bouc émissaire	un	est	a	qu'
fil conducteur	fil	conducteur	fil	conducteur	NA	S	M	no	no	https://fr.wiktionary.org/wiki/famille_recompos%C3%A9e	3494			NC	La question problème sert de<strong> fil conducteur</strong>.	Le<strong> fil conducteur</strong> sera la notion de causalité.	Cette question est le<strong> fil conducteur</strong> de notre exposition.	fil conducteur	un	est	a	qu'
petit pois	pois	petit	pois	petit	AN	S	M	no	no	https://fr.wiktionary.org/wiki/petit_pois	3487			PC	On le sert accompagné de<strong> petits pois</strong>.	L'expérience des<strong> petits pois</strong> de Mandel le démontre.	Placez tous ces légumes dans une cocotte avec les<strong> petits pois</strong>.	petit pois	un	est	a	qu'
eau minérale	eau	minérale	eau	minéral	NA	S	F	no	no	https://fr.wiktionary.org/wiki/eau_min%C3%A9rale	3437			PC	Je bois un petit peu d'<strong>eau minérale</strong>.	Méfiez vous des<strong> eaux minérales</strong> trop riches en calcium.	Le français est le premier buveur d'<strong>eaux minérales</strong> du monde.	eau minéral	une	est	a	qu'
carte grise	carte	grise	carte	gris	NA	S	F	no	no	https://fr.wiktionary.org/wiki/carte_grise	3423			PC	La<strong> carte grise</strong> est délivrée gratuitement.	L'agent verbalisateur conserve la<strong> carte grise</strong> du véhicule.	Le titulaire de la<strong> carte grise</strong> est redevable de l'amende.	carte gris	une	est	a	qu'
sang froid	sang	froid	sang	froid	NA	S	M	no	no	https://fr.wiktionary.org/wiki/sang-froid	3342			NC	Veuillez garder votre <strong>sang-froid</strong>.	Les archers perdent quelquefois leur <strong>sang-froid</strong>.	Courageux, vous agissez avec <strong>sang-froid </strong>face aux difficultés.	sang froid	un	est	a	qu'
berger allemand	berger	allemand	berger	allemand	NA	S	M	no	no	https://fr.wiktionary.org/wiki/berger_allemand	3151			NC	Arnaud promène son<strong> berger allemand</strong>.	Va-t-il finir dévoré par son<strong> berger allemand</strong> ?	Son animal préféré est le chien (<strong> berger allemand</strong>).	berger allemand	un	est	a	qu'
haute montagne	montagne	haute	montagne	haut	AN	S	F	no	no	https://fr.wikipedia.org/wiki/Haute_montagne	3054			C	Il habite en<strong> haute montagne</strong> et dans la forêt.	Le vent de nord-est est soutenu en<strong> haute montagne</strong>.	L'équipe est constituée de professionnels de la<strong> haute montagne</strong>.	haut montagne	une	est	a	qu'
coup franc	coup	franc	coup	franc	NA	S	M	no	no	https://fr.wiktionary.org/wiki/coup_franc	2950			PC	Les bleus concèdent un nouveau<strong> coup franc</strong>.	À la 51e minute, l'arbitre siffle un<strong> coup franc</strong>.	Ils ont bénéficé de nombreuses occasions et de plusieurs<strong> coups francs</strong>.	coup franc	un	est	a	qu'
petit écran	écran	petit	écran	petit	AN	S	M	no	no	https://fr.wiktionary.org/wiki/petit_%C3%A9cran	2771			PC	Nicolas Sarkozy plaide pour la publicité sur le<strong> petit écran</strong>.	Comment la chaîne a pu ensuite arriver sur les<strong> petits écrans</strong> ?	Je suis très intéressé par le cinéma et le<strong> petit écran</strong> !	petit écran	un	est	a	qu'
coffre-fort	coffre	fort	coffre	fort	NA	S	M	no	yes	https://fr.wiktionary.org/wiki/coffre-fort	2670			PC	Chaque chambre est équipée d'un<strong> coffre fort</strong>.	Il vous rendra la clef une fois arrivé au <strong>coffre-fort</strong>.	Les malfaiteurs étaient repartis en emportant le <strong>coffre-fort </strong>de la société.	coffre fort	un	est	a	qu'
fou rire	rire	fou	rire	fou	AN	S	M	no	no	https://fr.wiktionary.org/wiki/fou_rire	2661			PC	Nous retenons difficilement un<strong> fou rire</strong>.	Elle éclate d'un<strong> fou rire</strong> incontrôlable.	Leur fraicheur et leur spontanéité a déclenché quelques<strong> fous rires</strong>.	fou rire	un	est	a	qu'
carte bleue	carte	bleue	carte	bleu	NA	S	F	no	no	https://fr.wiktionary.org/wiki/carte_bleue	2600			PC	C'était une caisse pour les<strong> cartes bleues</strong>.	Pourquoi il veut mon code de<strong> carte bleue</strong> ?	Nous acceptons les<strong> cartes bleues</strong>, Visa et Mastercard.	carte bleu	une	est	a	qu'
numéro vert	numéro	vert	numéro	vert	NA	S	M	no	no	https://fr.wiktionary.org/wiki/num%C3%A9ro_vert	2590			PC	Un<strong> numéro vert</strong> est mis en place.	C'est un<strong> numéro vert</strong> : l'appel est gratuit.	Appelez gratuitement la ville de grenoble en composant ce<strong> numéro vert</strong>.	numéro vert	un	est	a	qu'
bras droit	bras	droit	bras	droit	NA	S	M	no	no	https://fr.wiktionary.org/wiki/bras_droit	2409			NC	Il est le<strong> bras droit</strong> de l'éducateur spécialisé.	Son<strong> bras droit</strong>, Brice Hortefeux, était en retard.	On l'appelle souvent le<strong> bras droit</strong> ou le conseiller du président.	bras droit	un	est	a	qu'
chauve souris	souris	chauve	souris	chauve	AN	S	F	yes	no	https://fr.wiktionary.org/wiki/chauve-souris	2338			NC	La <strong>chauve-souris </strong>se nourrit de papillons.	Toutes les espèces de <strong>chauve-souris </strong>sont protégées.	Puis la <strong>chauve-souris </strong>s'envola pour prendre des feuilles.	chauve souris	une	est	a	qu'
carte vitale	carte	vitale	carte	vital	NA	S	F	no	no	https://fr.wiktionary.org/wiki/carte_vitale	2260			PC	La<strong> carte vitale</strong> est votre carte d'assuré social.	Plus de 210 000 professionnels de la santé acceptent la<strong> carte vitale</strong>.	La<strong> carte vitale</strong> n'est pas un moyen de paiement.	carte vital	une	est	a	qu'
famille nombreuse	famille	nombreuse	famille	nombreux	NA	S	F	no	no	https://fr.wiktionary.org/wiki/famille_nombreuse	2192			C	La fillette est maintenant mère de<strong> famille nombreuse</strong>.	Une<strong> famille nombreuse</strong> comprend trois enfants ou plus.	Ils appartiennent à une<strong> famille nombreuse</strong> composée de huit enfants.	famille nombreux	une	est	a	qu'
pleine lune	lune	pleine	lune	plein	AN	S	F	no	no	https://fr.wiktionary.org/wiki/pleine_lune	2188			PC	La<strong> pleine lune</strong> était resplendissante ce soir-là.	Hier soir c'était la<strong> pleine lune</strong>.	C'était une nuit de<strong> pleine lune</strong>, douce et fraîche.	plein lune	une	est	a	qu'
beau-père	père	beau	père	beau	AN	S	M	no	yes	https://fr.wiktionary.org/wiki/beau-p%C3%A8re	2186			NC	Le <strong>beau-père </strong>redoute son gendre.	En 1875, son <strong>beau-père </strong>mourut.	Il était le <strong>beau-père </strong>de Baudelaire.	beau père	un	est	a	qu'
nuit blanche	nuit	blanche	nuit	blanc	NA	S	F	no	no	https://fr.wiktionary.org/wiki/nuit_blanche	2071			PC	Vous avez passé des<strong> nuits blanches</strong> au labo.	Une<strong> nuit blanche</strong> ne se rattrape pas.	Tu ne fais plus de<strong> nuits blanches</strong> parce que c'est trop fatiguant.	nuit blanc	une	est	a	qu'
carte blanche	carte	blanche	carte	blanc	NA	S	F	no	no	https://fr.wiktionary.org/wiki/carte_blanche	2057			NC	Les flics ont reçu<strong> carte blanche</strong>.	Point de contraintes, vous avez<strong> carte blanche</strong>.	Le studio décide de lui donner<strong> carte blanche</strong> au projet.	carte blanc	une	est	a	qu'
cercle vicieux	cercle	vicieux	cercle	vicieux	NA	S	M	no	no	https://fr.wiktionary.org/wiki/cercle_vicieux	2029			PC	Il faut sortir de ce<strong> cercle vicieux</strong>.	Le malheur attire le malheur tel un<strong> cercle vicieux</strong>.	Ces frustrations mutuelles alimentent un<strong> cercle vicieux</strong> aux racines profondes.	cercle vicieux	un	est	a	qu'
second rôle	rôle	second	rôle	second	AN	S	M	no	no	https://fr.wikipedia.org/wiki/Second_r%C3%B4le	2028			PC	Son interprétation lui vaut le César du meilleur<strong> second rôle</strong> féminin.	Dommage qu'il ne joue qu'un<strong> second rôle</strong>.	Chaque personnage transpire des pages, y compris les<strong> seconds rôles</strong>.	second rôle	un	est	a	qu'
coup dur	coup	dur	coup	dur	NA	S	M	no	no	https://fr.wiktionary.org/wiki/coup_dur	1985			PC	C'est un<strong> coup dur</strong> pour l'équipe.	Ces personnes sont découragées au moindre<strong> coup dur</strong>.	Cette assurance prend en charge vos mensualités en cas de<strong> coup dur</strong>.	coup dur	un	est	a	qu'
cerf-volant	cerf	volant	cerf	volant	NA	S	M	no	yes	https://fr.wiktionary.org/wiki/cerf-volant	1971			PC	Peux-tu faire voler un <strong>cerf-volant </strong> ?	Comment faire un <strong>cerf-volant </strong>avec un sac en plastique !	La queue du <strong>cerf-volant </strong>assure la stabilité de l'appareil.	cerf volant	un	est	a	qu'
chute libre	chute	libre	chute	libre	NA	S	M	yes	no	https://fr.wiktionary.org/wiki/chute_libre	1966			PC	Votre baptême<strong> chute libre</strong> s'effectue en saut tandem.	Correspond-elle à la définition physique de la<strong> chute libre</strong> ?	Cette technique peut être assimilée à la<strong> chute libre</strong> chez les parachutistes.	chute libre	un	est	a	qu'
marée noire	marée	noire	marée	noir	NA	S	F	no	no	https://fr.wiktionary.org/wiki/mar%C3%A9e_noire	1946			NC	Une<strong> marée noire</strong> est-elle une catastrophe écologique ?	La côte libanaise est sinistrée par une<strong> marée noire</strong>.	La pollution est également indirecte avec les<strong> marées noires</strong>, conséquences du transport des hydrocarbures.	marée noir	une	est	a	qu'
feu rouge	feu	rouge	feu	rouge	NA	S	M	yes	no	https://fr.wiktionary.org/wiki/feu_rouge	1911			NC	Un bus est arreté à un<strong> feu rouge</strong>.	La voiture pile à un<strong> feu rouge</strong>.	Un camion s'arrête à un<strong> feu rouge</strong>.	feu rouge	un	est	a	qu'
beau-frère	frère	beau	frère	beau	AN	S	M	no	yes	https://fr.wiktionary.org/wiki/beau-fr%C3%A8re	1893			NC	Jean est le <strong>beau-frère </strong>de Thierry.	Et ton <strong>beau-frère</strong>, il a apprécié ?	Elodie prévient immédiatement son <strong>beau-frère </strong>Dominique par téléphone.	beau frère	un	est	a	qu'
eau vive	eau	vive	eau	vif	NA	S	F	no	no	https://fr.wiktionary.org/wiki/eau_vive	1882			PC	C'est également un lieu privilégié pour les sports en<strong> eaux vives</strong>.	Des rivières d'<strong>eau vive</strong> serpentent et ravinent à la surface du glacier.	Elle ravit également les amateurs de sports d'<strong>eaux vives</strong> (rafting, canoë, kayak).	eau vif	une	est	a	qu'
bon vent	vent	bon	vent	bon	AN	S	M	no	no	https://fr.wiktionary.org/wiki/bon_vent	1820			PC	On leur souhaite<strong> bon vent</strong>.	Je lui souhaite<strong> bon vent</strong> pour son projet.	Bravo l'artiste pour le travail accompli et<strong> bon vent</strong> pour tes choix d'avenir !	bon vent	un	est	a	qu'
valeur sûre	valeur	sûre	valeur	sûr	NA	S	F	no	no	XX	1680			C	La démocratie est une<strong> valeur sûre</strong>.	La générosité et la solidarité restent des<strong> valeurs sûres</strong>.	Le stage reste une<strong> valeur sûre</strong> pour intégrer les cabinets.	valeur sûr	une	est	a	qu'
faux pas	pas	faux	pas	faux	AN	S	M	no	no	https://fr.wiktionary.org/wiki/faux_pas	1672			PC	Tout<strong> faux pas</strong> est interdit.	Tout<strong> faux pas</strong> peut déclencher une mobilisation massive.	Les rivaux sont prêts à profiter du moindre <strong>faux-pas</strong>.	faux pas	un	est	a	qu'
table basse	table	basse	table	bas	NA	S	F	no	no	https://fr.wikipedia.org/wiki/Table_basse	1669			PC	Le repas était servi sur une longue<strong> table basse</strong>.	La<strong> table basse</strong> comporte un espace rangement sous le plateau.	Quatre fauteuils et une<strong> table basse</strong> en constituent le mobilier.	table bas	une	est	a	qu'
mauvaise langue	langue	mauvaise	langue	mauvais	AN	S	F	no	no	https://fr.wiktionary.org/wiki/mauvaise_langue	1632			NC	Je suis bien<strong> mauvaise langue</strong>.	De<strong> mauvaises langues</strong> font courir de fausses rumeurs sur la radio.	Les<strong> mauvaises langues</strong> disent que son labo n'est pas rangé.	mauvais langue	une	est	a	qu'
prince charmant	prince	charmant	prince	charmant	NA	S	M	no	no	https://fr.wikipedia.org/wiki/Prince_charmant	1569			PC	Les femmes cherchent un<strong> prince charmant</strong>.	Elle vivait heureuse et elle était amoureuse de son<strong> prince charmant</strong>.	Mariam put ainsi épouser son<strong> prince charmant</strong> et eut un enfant avec lui.	prince charmant	un	est	a	qu'
bas-côté	côté	bas	côté	bas	AN	S	M	no	yes	https://fr.wiktionary.org/wiki/bas-c%C3%B4t%C3%A9	1554			NC	Le convoi stationne sur le <strong>bas-côté</strong>.	Les véhicules défilent sur le <strong>bas-côté</strong>.	Des blocs de béton attendent sur le <strong>bas-côté</strong>.	bas côté	un	est	a	qu'
grand air	air	grand	air	grand	AN	S	M	no	no	https://fr.wiktionary.org/wiki/grand_air	1546			PC	La vie au<strong> grand air</strong> entretient la santé.	Il préférait les exécutions au<strong> grand air</strong>.	Il voudrait rejoindre le jardin, le calme, le<strong> grand air</strong>.	grand air	un	est	a	qu'
première dame	dame	première	dame	premier	AN	S	F	no	no	https://fr.wiktionary.org/wiki/premi%C3%A8re_dame	1522			PC	Carla Bruni est la nouvelle<strong> première dame</strong> de France.	Que pensez vous de la<strong> première dame</strong> que nous a choisi le président ?	L'ancienne<strong> première dame</strong> du Pakistan a l'intention de poursuivre son combat.	premier dame	une	est	a	qu'
tapis rouge	tapis	rouge	tapis	rouge	NA	S	M	no	no	https://fr.wiktionary.org/wiki/tapis_rouge	1512			C	Le banquier ne vous déroule pas le<strong> tapis rouge</strong> ?	Cannes lui déroule son<strong> tapis rouge</strong>.	Autrement dit, le<strong> tapis rouge</strong> a été déroulé aux vendeurs de machines agricoles.	tapis rouge	un	est	a	qu'
dernier cri	cri	dernier	cri	dernier	AN	S	M	no	no	https://fr.wiktionary.org/wiki/dernier_cri	1489			NC	Pour noël, vous souhaitez offrir un produit<strong> dernier cri</strong> ?	Les reconstitutions respectent le<strong> dernier cri</strong> des connaissances scientifiques.	Il ne recherche pas nécessairement des technologies et le<strong> dernier cri</strong> de l'électronique.	dernier cri	un	est	a	qu'
faux-semblant	semblant	faux	semblant	faux	AN	S	M	no	yes	https://fr.wiktionary.org/wiki/faux-semblant	1483			PC	Sa popularité est-elle un <strong>faux-semblant </strong> ?	Rien n'est plus dangereux que les <strong>faux-semblants</strong>.	Alors sortons des mythes et des <strong>faux-semblants </strong>qui encombrent nos greniers.	faux semblant	un	est	a	qu'
temps mort	temps	mort	temps	mort	NA	S	M	no	no	https://fr.wiktionary.org/wiki/temps_mort	1473			PC	Les<strong> temps morts</strong> nombreux cassent le rythme.	La production s'allège de tous les<strong> temps morts</strong>.	Le film est mené de façon cohérente sans<strong> temps morts</strong>.	temps mort	un	est	a	qu'
gros mot	mot	gros	mot	gros	AN	S	M	no	no	https://fr.wiktionary.org/wiki/gros_mot	1437			PC	Les<strong> gros mots</strong> seront immédiatement censurés.	Donc injure comme<strong> gros mots</strong> ne résolveront point la situation.	Ton aggressivité et tes<strong> gros mots</strong> sur notre site me dérangent.	gros mot	un	est	a	qu'
court-circuit	circuit	court	circuit	court	AN	S	M	no	yes	https://fr.wiktionary.org/wiki/court-circuit	1423			PC	L'incendie serait dû à un <strong>court-circuit</strong>.	Ne mettez jamais la batterie en <strong>court-circuit </strong> !	Coupez l'électricité si la fuite représente un risque de <strong>court-circuit</strong>.	court circuit	un	est	a	qu'
haute mer	mer	haute	mer	haut	AN	S	F	no	no	https://fr.wiktionary.org/wiki/haute_mer	1398			PC	Nous rejoignons les sauveteurs en<strong> haute mer</strong>.	C'est un port accessible aux navires de<strong> haute mer</strong>.	Le pourcentage est faible prés du littoral et élevé en<strong> haute mer</strong>.	haut mer	une	est	a	qu'
chapeau bas	chapeau	bas	chapeau	bas	NA	S	M	no	no	https://fr.wiktionary.org/wiki/chapeau_bas	1256			NC	<strong>chapeau bas</strong> aux acteurs, tous excellents.	Bravo et<strong> chapeau bas</strong> pour ton blog très intéressant.	Arnaud, l'Ardèche vous fait<strong> chapeau bas</strong> pour ce qui est de l'ergonomie du site.	chapeau bas	un	est	a	qu'
point mort	point	mort	point	mort	NA	S	M	no	no	https://fr.wiktionary.org/wiki/point_mort	1255			NC	L'investissement est au<strong> point mort</strong>.	Depuis, le dossier semble au<strong> point mort</strong>.	Faute de moyens, de nombreux projets de création restent au<strong> point mort</strong>.	point mort	un	est	a	qu'
yeux rouges	yeux	rouges	œil	rouge	NA	P	M	yes	no	https://fr.wikipedia.org/wiki/Effet_yeux_rouges	1161			C	Elle avait les<strong> yeux rouges</strong> à force de pleurer.	Des<strong> yeux rouges</strong> ce n'était pas courant, non.	Cela permet d'éviter l'effet des<strong> yeux rouges</strong>.	(œ|oe)il rouge	des	sont	ont	que 
sucre roux	sucre	roux	sucre	roux	NA	S	M	no	no	XX	1100			C	La consommation du<strong> sucre roux</strong> est alors fortement conseillée.	Blanchissez les jaunes en ajoutant progressivement le<strong> sucre roux</strong> et le sucre vanillé.	Le<strong> sucre roux</strong> c'est un sucre de canne complet plus ou moins raffiné.	sucre roux	un	est	a	qu'
matière grise	matière	grise	matière	gris	NA	S	F	no	no	https://fr.wiktionary.org/wiki/mati%C3%A8re_grise	1024			NC	Cet exil forcé des cerveaux représente un gâchis de<strong> matière grise</strong>.	Nous déplorons la fuite de<strong> matière grise</strong> à l'étranger.	Il existe de nombreuses façons de s'instruire ou de faire cogiter sa<strong> matière grise</strong>.	matière gris	une	est	a	qu'
petit-four	four	petit	four	petit	AN	S	M	no	yes	https://fr.wiktionary.org/wiki/petit-four	1017			NC	Ma mère préparait déjà les<strong> petits fours</strong> et compagnie.	Les<strong> petits fours</strong> sont cuits lorsqu'ils commencent à dorer.	Et je prépare les<strong> petits fours</strong> salés pour l'apéros.	petit four	un	est	a	qu'
chambre froide	chambre	froide	chambre	froid	NA	S	F	no	no	https://fr.wiktionary.org/wiki/chambre_froide	1005			C	J'ai aussi nettoyé la<strong> chambre froide</strong>.	Il est nécessaire d'améliorer l'équipement en<strong> chambre froide</strong>.	Ils pourront alors être prélevés plus tôt et conservés en<strong> chambre froide</strong>.	chambre froid	une	est	a	qu'
grand saut	saut	grand	saut	grand	AN	S	M	no	no	XX	941			NC	N'hésitez plus, faites le<strong> grand saut</strong> !	C'est comme un<strong> grand saut</strong> vers l'autonomie sans les risques !	Dans quelques mois, votre enfant devra effectuer le<strong> grand saut</strong> dans l'univers du collège.	grand saut	un	est	a	qu'
mort-né	mort	né	mort	né	NA	S	M	no	yes	https://fr.wiktionary.org/wiki/mort-n%C3%A9	917			C	Les enfants <strong>mort-nés </strong>sont pris en compte.	Ingres et Madeleine ne concevront qu'un enfant, <strong>mort-né</strong>.	Enfin, la loi a changé concernant le status d'un enfant <strong>mort-né </strong> !	mort né	un	est	a	qu'
prévision météorologique	prévision	météorologique	prévision	météorologique	NA	S	F	yes	no	XX	882			C	Météo-France continue de travailler pour améliorer les<strong> prévisions météorologiques</strong>.	Pourquoi les<strong> prévisions météorologiques</strong> se trompent ?	Les autorité restent attentives à l'évolution des<strong> prévisions météorologiques</strong> et des indicateurs sanitaires.	prévision météorologique	une	est	a	qu'
pages jaunes	pages	jaunes	page	jaune	NA	P	F	no	no	https://fr.wikipedia.org/wiki/Pages_jaunes	880			NC	Inscrivez votre entreprise sur les<strong> pages jaunes</strong>.	Consultez les<strong> pages jaunes</strong> pour avoir leurs coordonnées.	Ces outils peuvent ainsi être considérés comme les<strong> pages jaunes</strong> du web.	page jaune	des	sont	ont	que 
étoile filante	étoile	filante	étoile	filant	NA	S	F	no	no	https://fr.wiktionary.org/wiki/%C3%A9toile_filante	832			NC	Une<strong> étoile filante</strong> traverse le ciel.	Une<strong> étoile filante</strong> passa et ils firent un voeu.	Le moment le plus favorable pour observer les<strong> étoiles filantes</strong> se situe en deuxième partie de nuit.	étoile filant	une	est	a	qu'
faux cul	cul	faux	cul	faux	AN	S	M	no	no	https://fr.wiktionary.org/wiki/faux_cul	792			NC	Ça, c'est un discours un peu <strong>faux-cul </strong> !	Comment trouver le juste milieu entre un trop franc-parler et être un peu <strong>faux-cul </strong> ?	Me traiter de <strong>faux-cul</strong>, d'ingrat ou d'hypocrite, vous en avez parfaitement le droit.	faux cul	un	est	a	qu'
fleur bleue	fleur	bleue	fleur	bleu	NA	S	F	no	no	https://fr.wiktionary.org/wiki/fleur_bleue	771			NC	Elle est aussi rêveuse et un peu<strong> fleur bleue</strong>.	Cette comédie musicale<strong> fleur bleue</strong> vaut le détour pour les performances des danseurs.	Je suis certainement un brin trop<strong> fleur bleue</strong>, trop romantique pour l'époque actuelle !	fleur bleu	une	est	a	qu'
carton plein	carton	plein	carton	plein	NA	S	M	no	no	https://fr.wiktionary.org/wiki/carton_plein	752			NC	Côté audience, TF1 fait un<strong> carton plein</strong>.	Marseille essaiera de faire un<strong> carton plein</strong> en recevant Porto.	En Île-de-France, le Furia et Solidays ont fait<strong> carton plein</strong>.	carton plein	un	est	a	qu'
pied-noir	pied	noir	pied	noir	NA	S	M	no	yes	https://fr.wiktionary.org/wiki/pied-noir	711			NC	Enrico Macias ou Patrick Bruel sont des juifs<strong> pied noirs</strong>.	La réputation de Charly va vite dépasser la communauté <strong>pied-noir</strong>.	Son père est un <strong>pied-noir </strong>parti d'Algérie en 1962.	pied noir	un	est	a	qu'
casque bleu	casque	bleu	casque	bleu	NA	S	M	no	no	https://fr.wiktionary.org/wiki/casque_bleu	690			NC	Les<strong> casques bleus</strong> n'opposeront aucune résistance.	L'ONU a donc décidé d'envoyer des<strong> casques bleus</strong>.	2000 soldats français seront ainsi placés sous<strong> casque bleu</strong> au Liban.	casque bleu	un	est	a	qu'
bon vivant	vivant	bon	vivant	bon	AN	S	M	no	no	https://fr.wiktionary.org/wiki/bon_vivant	668			NC	Dans la restauration on est<strong> bon vivant</strong>.	Les bretons sont accueillants,<strong> bon vivants</strong> et chaleureux.	Je voudrais manger plus équilibrer mais nous sommes de<strong> bons vivants</strong>.	bon vivant	un	est	a	qu'
crème glacée	crème	glacée	crème	glacé	NA	S	F	no	no	https://fr.wiktionary.org/wiki/cr%C3%A8me_glac%C3%A9e	614			C	Presser la crème chantilly sur la<strong> crème glacée</strong>.	Les<strong> crèmes glacées</strong> sont également bien plus caloriques qu'un sorbet.	Ils fournissent des recettes pour faire des glaces et des<strong> crèmes glacées</strong>.	crème glacé	une	est	a	qu'
poupée russe	poupée	russe	poupée	russe	NA	S	F	yes	no	https://fr.wiktionary.org/wiki/poup%C3%A9e_russe	577			NC	Toutes ces<strong> poupées russes</strong> finissent-elles par s'emboîter ?	Plusieurs sociétés s'emboîtent les unes dans les autres, comme des<strong> poupées russes</strong>.	Pour ranger les éléments, il faut les emboiter dans le sens inverse, telles des<strong> poupées russes</strong>.	poupée russe	une	est	a	qu'
douche froide	douche	froide	douche	froid	NA	S	F	no	no	XX	539			NC	C'était la<strong> douche froide</strong> dans les tribunes.	Mais la réponse émanant des révolutionnaires fait office de<strong> douche froide</strong>.	Le ton de Vauboulon est une<strong> douche froide</strong> pour les colons de Saint-Paul.	douche froid	une	est	a	qu'
baie vitrée	baie	vitrée	baie	vitré	NA	S	F	no	no	XX	539			C	Je m'extrais lentement de mon fauteuil et regarde par la<strong> baie vitrée</strong>.	Le salon a une<strong> baie vitrée</strong> qui donne sur le jardin.	Une<strong> baie vitrée</strong> apporte un éclairage naturel.	baie vitré	une	est	a	qu'
parachute doré	parachute	doré	parachute	doré	NA	S	M	no	no	https://fr.wiktionary.org/wiki/parachute_dor%C3%A9	526			NC	Les<strong> parachutes dorés</strong> ne sont pas interdits, ils seront mieux encadrés.	Eux sont ainsi partis avec des<strong> parachutes dorés</strong>, et les salariés paient les pots cassés.	À son départ, le conseil d'administration décidera du versement ou non du<strong> parachute doré</strong>.	parachute doré	un	est	a	qu'
belle-mère	mère	belle	mère	beau	AN	S	F	no	yes	https://fr.wiktionary.org/wiki/belle-m%C3%A8re	470			NC	Elle n'a jamais supporté sa<strong> belle mère</strong>.	Je reconnais ma femme et ma<strong> belle mère</strong>.	Sa<strong> belle mère</strong> est désagréable et même méchante.	beau mère	une	est	a	qu'
montagnes russes	montagnes	russes	montagne	russe	NA	P	F	yes	no	https://fr.wiktionary.org/wiki/montagnes_russes	436			NC	Une<strong> montagne russe</strong> géante plonge d'une hauteur impressionnante.	On a fait tous les toboggans et les<strong> montagnes russes</strong>.	Walibi comporte à lui tout seul, 3 grand-huit et une<strong> montagne russe</strong>.	montagne russe	des	sont	ont	que 
faux ami	ami	faux	ami	faux	AN	S	M	no	no	https://fr.wiktionary.org/wiki/faux_ami	390			NC	Attention aux<strong> faux amis</strong>, disent les professeurs d'anglais.	Chaque jour, vous découvrez un <strong>faux-ami </strong>ou un mot-piège à éviter.	L'appellation ingénieur du son qui vient de l'anglais sound ingeneer, est un<strong> faux ami</strong>.	faux ami	un	est	a	qu'
vieille fille	fille	vieille	fille	vieux	AN	S	F	no	no	https://fr.wiktionary.org/wiki/vieille_fille	390			NC	Pour beaucoup, Jane Austen est considérée comme une éternelle<strong> vieille fille</strong>.	Ses patronnes sont deux<strong> vieilles filles</strong> austères.	Je citerai également Emily Watson, résoluement<strong> vieille fille</strong> féministe et joueuse de cartes.	vieux fille	une	est	a	qu'
petit joueur	joueur	petit	joueur	petit	AN	S	M	no	no	XX	372			NC	Je me sens vraiment<strong> petite joueuse</strong> à côté.	Certains refont les seins là où je change tout le corps, les<strong> petits joueurs</strong> !	Par rapport au climat politique italien, les candidats à l'Elysée apparaissent comme des<strong> petits joueurs</strong>.	petit joueur	un	est	a	qu'
pot-pourri	pot	pourri	pot	pourri	NA	S	M	no	yes	https://fr.wiktionary.org/wiki/pot-pourri	349			NC	C'est un<strong> pot pourri</strong> bien orchestré.	Le troisième lien est un<strong> pot pourri</strong> entre recherche, enseignement et autres divertissements jubilatoires.	Claude Bolling et son orchestre jouent un<strong> pot pourri</strong> des succès de Django Reinhardt.	pot pourri	un	est	a	qu'
brebis galeuse	brebis	galeuse	brebis	galeux	NA	S	F	no	no	https://fr.wiktionary.org/wiki/brebis_galeuse	337			NC	Je suis même la<strong> brebis galeuse</strong> du monde littéraire nippon.	La famille m'a traité en<strong> brebis galeuse</strong>.	Cette sanction permet ainsi d'éloigner de la profession les<strong> brebis galeuses</strong>.	brebis galeux	une	est	a	qu'
soirée privée	soirée	privée	soirée	privé	NA	S	F	no	no	XX	333			C	Des<strong> soirées privées</strong> ou à thèmes sont régulièrement organisées.	Une salle au sous-sol est à votre disposition pour vos<strong> soirées privées</strong>.	Il avait participé à une<strong> soirée privée</strong> qui suivait une journée d'intégration.	soirée privé	une	est	a	qu'
