compound	noun	modifier	nounlemma	modifierlemma	order	number	gender	A-invar	hyphen	freq-brWaC	related-expr	comment	Aline-annot	examplesent1	examplesent2	examplesent3	regexp-freq	undefdetHead	undefdet	ser	ter	link-wiktionnary					
guarda-florestal	guarda	florestal	guarda	florestal	NA	S	M	yes	yes	45			C	Um <strong>guarda florestal</strong> faz patrulhas regulares para afastar os caçadores.	Ele foi no início utilizado por <strong>guardas florestais</strong> para combater a caça clandestina.	No inverno, só pode visitar a Spruce Tree House em uma visita guiada por um <strong>guarda florestal</strong>.	guarda-florestal	um	um	é	tem	http://www.priberam.pt/dlpo/guarda-florestal					
jogo duro	jogo	duro	jogo	duro	NA	S	M	no	no	371			NC	Eu sou franco e <strong>jogo duro</strong>, não abro mão de aquilo que eu gosto.	A captação de recursos privados tem sido afetada pelo <strong>jogo duro</strong> do Planalto e pela ausência de uma lei das ONGs.	A oposição fez um <strong>jogo duro</strong>, não dando trégua, na esperança de enfraquecer lula e derrotá-lo	jogo duro	um	um	é	tem	XX					
juízo final	juízo	final	juízo	final	NA	S	M	yes	no	21785			NC	A ressurreição dos mortos ocorrerá antes do <strong>juízo final</strong>.	A parede do fundo exibia cenas relativas ao <strong>juízo final</strong>.	Esse veredito de Deus sobre Davi nos leva ao grande <strong>juízo final</strong>.	juízo final	um	um	é	tem	https://pt.wiktionary.org/wiki/Ju%C3%ADzo_Final					
leite integral	leite	integral	leite	integral	NA	S	M	yes	no	1160			C	Depois do primeiro aniversário, já dá para dar <strong>leite integral</strong>.	O brasileiro aumentou o consumo de <strong>leite integral</strong> e carne com gordura.	Troque o <strong>leite integral</strong> pelo desnatado e economize nas calorias.	leite integral	um	um	é	tem	XX					
lista negra	lista	negra	lista	negro	NA	S	F	no	no	4493			PC	Maradona e Palermo também estão na <strong>lista negra</strong> de Román.	Passou sete meses com homens que estavam na <strong>lista negra</strong> de Israel.	Quem se recusasse a aceitar esse Evangelho era colocado na <strong>lista negra</strong>.	lista negra	uma	uma	é	tem	https://pt.wikipedia.org/wiki/Lista_negra					
livre-docente	docente	livre	docente	livre	AN	S	M	yes	yes	79			PC	Sou também mestre e doutor, e depois <strong>livre docente</strong>.	Membro da American Academy of Forensic Science, Wilmes é <strong>livre-docente</strong> e dá aulas em três faculdades.	Seu pai era químico e foi <strong>livre docente</strong> da Universidade de Praga.	livre-docente	um	um	é	tem						
livro aberto	livro	aberto	livro	aberto	NA	S	M	no	no	1120			NC	Quem adora desta forma nada tem a esconder, sua vida é um <strong>livro aberto</strong>.	Você é simplesmente um <strong>livro aberto</strong>, contando ao mundo a respeito de seu autor.	Porque eu posso ser um <strong>livro aberto</strong> - mas algumas páginas estão e continuarão coladas, hehehe.	livro aberto	um	um	é	tem	XX					
longa data	data	longa	data	longo	AN	S	F	no	no	10672			NC	Todos vocês me conhecem de <strong>longa data</strong>.	Essa colaboração de <strong>longa data</strong> também ajuda.	Não é que fôssemos amigos de <strong>longa data</strong>.	longo data	uma	uma	é	tem	XX					
longa-metragem	metragem	longa	metragem	longo	AN	S	F	no	yes	721			NC	O <strong>longa-metragem</strong> tem Isabella Rossellini no elenco.	O <strong>longa-metragem</strong> mudo francês quebrou diversos paradigmas.	Seus documentários de <strong>longa-metragem</strong> alcançaram grande sucesso.	longa-metragem	uma	uma	é	tem						
lua cheia	lua	cheia	lua	cheio	NA	S	F	no	no	231			C	Este ano de <strong>luas cheias</strong> é muito apropriadamente chamado!	O seguimento das estrelas permitiu-lhes reconhecer e antecipar eventos tais como eclipses e <strong>luas cheias</strong>.	Todas as <strong>luas cheias</strong>, possuem diferentes auréolas, a branca é simbólica da magia branca, a dourada trás prosperidade.	lua cheio	uma	uma	é	tem	https://pt.wiktionary.org/wiki/lua_cheia					
lua nova	lua	nova	lua	novo	NA	S	F	no	no	1418			C	Levantem-se pois agora e te salvem os astrólogos, que nas <strong>luas novas</strong> prognosticam o que há de vir sobre ti.	Período de maior intensidade: época das chuvas, nos meses de janeiro a maio e no mês de setembro, durante as <strong>luas nova</strong> e cheia.	Para muitos povos antigos, um novo mês era anunciado na passagem da <strong>lua nova</strong> para a lua crescente.	lua novo	uma	uma	é	tem	https://pt.wiktionary.org/wiki/lua_nova					
lugar-comum	lugar	comum	lugar	comum	NA	S	M	no	yes	5270			NC	Cheias de <strong>lugares-comuns</strong> e banalidades;	Clichê, chavão, <strong>lugar-comum</strong>.	Metodologias de desenvolvimento ágil e scrum são agora <strong>lugar-comum</strong>.	lugar comum	um	um	é	tem	http://www.priberam.pt/dlpo/lugar-comum					
má-fé	fé	má	fé	mau	AN	S	F	no	yes	19758			NC	Há uma tremenda <strong>má-fé</strong> no que escreveu o fantasioso Will Durant.	Para o juiz, o consumidor agiu de <strong>má-fé</strong>.	Não sei se ele age assim por ignorância ou <strong>má-fé</strong>.	má fé	uma	uma	é	tem	http://www.priberam.pt/dlpo/m%C3%A1%20f%C3%A9					
magia negra	magia	negra	magia	negro	NA	S	F	no	no	6286			PC	E envolveu-se com satanismo e <strong>magia negra</strong>.	Candomblé pensam logo em <strong>magia negra</strong>, ou macumba.	O que faço para me proteger de <strong>magias negras</strong> e mau olhado?	magia negro	uma	uma	é	tem	https://pt.wiktionary.org/wiki/magia_negra					
mão-fechada	mão	fechada	mão	fechado	NA	S	F	no	yes	1040			NC	No jargão popular, um "rei da sovinice", um verdadeiro "<strong>mão fechada</strong>".	A questão não é ser <strong>mão fechada</strong>, mas acho que compensa mais você comprar um livro por um preço bacana e gastar o resto da grana com outra coisa.	Mas o time podre de rico, com caixa gordo e <strong>mão fechada</strong>, como a Alemanha, anseia por novos mercados sem restrições para suas exportações.	mão fechado	uma	um	é	tem	http://www.priberam.pt/dlpo/m%C3%A3o-fechada					
máquina virtual	máquina	virtual	máquina	virtual	NA	S	F	no	no	142			C	Feito isso, sua nova <strong>máquina virtual</strong> estará pronta para receber o Windows 8.	Os bytecodes são interpretados pela <strong>máquina virtual</strong> Java.	Para não deixar a <strong>máquina virtual</strong> muito lenta, é aconselhado utilizar metade da memória disponível.	máquina virtual	uma	uma	é	tem	https://pt.wikipedia.org/wiki/M%C3%A1quina_virtual					
mar aberto	mar	aberto	mar	aberto	NA	S	M	no	no	573			PC	Alcançada a ponta de Santo Antonio, saíram a <strong>mar aberto</strong>.	Ele condena a turma a nadar em <strong>mar aberto</strong>.	As espécies de <strong>mar aberto</strong> têm por princípio a natação contínua.	mar aberto	um	um	é	tem	https://pt.wikipedia.org/wiki/Mar_aberto					
maré alta	maré	alta	maré	alto	NA	S	F	no	no	46			C	Em dias de <strong>maré alta</strong>, delas é possível apreciar as ondas que parecem invadir o ambiente.	Seu volume também o condiciona a uma oscilação muito maior de suas águas quando dos intervalos entre <strong>maré alta</strong> a maré baixa.	Em certas áreas litorâneas, como algumas ilhas do Pacífico, isso significou um avanço de 100 metros na <strong>maré alta</strong>.	maré alta	uma	uma	é	tem	http://www.priberam.pt/dlpo/mar%C3%A9%20alta					
maré baixa	maré	baixa	maré	baixo	NA	S	F	no	no	68			C	O adolescente perdeu a vida por meio de um mergulho na <strong>maré baixa</strong>.	Apresenta grandes raízes aéreas que ficam expostas durante a <strong>maré baixa</strong>.	Possui águas agitadas e mornas formando piscinas naturais na <strong>maré baixa</strong>.	maré baixa	uma	uma	é	tem	http://www.priberam.pt/dlpo/mar%C3%A9%20baixa					
massa cinzenta	massa	cinzenta	massa	cinzento	NA	S	F	no	no	1404			NC	Estudos mostram aumento de <strong>massa cinzenta</strong> e branca em cérebros de adultos mais velhos.	E perceberam um aumento na <strong>massa cinzenta</strong> daqueles que praticavam esportes.	Uma das áreas que não nascem prontas é a parte superior da <strong>massa cinzenta</strong>, composta pelo neocórtex.	massa cinzenta	uma	uma	é	tem	https://pt.wiktionary.org/wiki/massa#Express.C3.B5es					
mau contato	contato	mau	contato	mau	AN	S	M	no	no	24			PC	Vi que o fio do seu carregador está com <strong>mau contato</strong>.	Os aparelhos podem pegar fogo se submetidos a <strong>mau contato</strong> ou curto circuito.	Verificar se há aquecimento nos fios ou <strong>mau contato</strong>, que causam fuga de energia.	mau contato	um	um	é	tem	XX					
mau-humor	humor	mau	humor	mau	AN	S	M	yes	yes	375			C	<strong>Mau humor</strong>, preguiça, desânimo.	Afaste de mim todo <strong>mau humor</strong> e amargura.	Seriedade não é cara feia e <strong>mau humor</strong>.	mau-humor	um	um	é	tem						
mau-olhado	olhado	mau	olhado	mau	AN	S	M	no	yes	1538			NC	Esquecer o olho grande e o <strong>mau olhado</strong> em volta.	Protege dos maus espíritos e do <strong>mau olhado</strong>.	Ela é também usada como amuleto para proteger do <strong>mau olhado</strong>.	mau olhado	um	um	é	tem	https://pt.wiktionary.org/wiki/mau-olhado					
mercado negro	mercado	negro	mercado	negro	NA	S	M	no	no	2682			PC	Proliferou o <strong>mercado negro</strong> e incentivou-se o processo inflacionário.	Sua aquisição se faz via <strong>mercado negro</strong> ou por meio de receita especial.	As atividades do <strong>mercado negro</strong> exigem o cometimento de outros crimes.	mercado negro	um	um	é	tem	http://www.priberam.pt/dlpo/mercado%20negro					
mesa-redonda	mesa	redonda	mesa	redondo	NA	S	F	no	yes	1009			NC	Uma <strong>mesa redonda</strong> diferente, mais dinâmica e com convidados especiais.	Em seguida haverá <strong>mesa redonda</strong>, palestras e debates com o secretário de direitos humanos Fernando Matos.	Capacitação gratuita diversas palestras, <strong>mesas redondas</strong> e conversas com especialistas estão sendo preparadas.	mesa redondo	uma	uma	é	tem	http://www.priberam.pt/dlpo/mesa-redonda					
montanha-russa	montanha	russa	montanha	russo	NA	S	F	no	yes	891			NC	Cada <strong>montanha russa</strong> é mais emocionante do que a outra!	As crianças deliciavam-se durante tardes inteiras, com seu brinquedo favorito: uma <strong>montanha russa</strong>  em forma de dinossauro! 	As <strong>montanhas russas</strong> também são um dos atrativos de este parque.	montanha russo	uma	uma	é	tem	https://pt.wiktionary.org/wiki/montanha-russa					
navio negreiro	navio	negreiro	navio	negreiro	NA	S	M	no	no	1024			C	Acredita-se que tenham vindo da África em <strong>navios negreiros</strong>.	Derrotada, foi levada como escrava para um <strong>navio negreiro</strong> e desembarcada em Recife.	Esta lei permitia aos navios britânicos apreender <strong>navios negreiros</strong> que cruzassem o Atlântico.	navio negreiro	um	um	é	tem	https://pt.wiktionary.org/wiki/navio#Express.C3.B5es					
nó cego	nó	cego	nó	cego	NA	S	M	no	no	28			PC	Há muitos <strong>nós cegos</strong> que têm de ser desatados e não podem ser abruptamente cortados em pedaços.	A minha tese é a de que o pragmatismo político do ex-presidente lula colocou a quase totalidade dos partidos brasileiros em uma sacola e deu um <strong>nó cego</strong>.	Eu tinha o coração mais apertado que um <strong>nó cego</strong>.	nó cego	um	um	é	tem	http://www.priberam.pt/dlpo/n%C3%B3%20cego					
novo mundo	mundo	novo	mundo	novo	AN	S	M	no	no	51939			NC	Lentamente estamos construindo um <strong>novo mundo</strong>.	O ensino fundamental é um <strong>novo mundo</strong>.	Comece a construir este <strong>novo mundo</strong> em seu coração.	novo mundo	um	um	é	tem	https://pt.wiktionary.org/wiki/Novo_Mundo					
novo-rico	rico	novo	rico	novo	AN	S	M	no	yes	1008			PC	Os <strong>novos ricos</strong> precisam despejar dinheiro, pois não têm tradição.	Perdemos a humildade e ganhámos a ganância dos <strong>novos ricos</strong>.	Os <strong>novos ricos</strong>, emergentes, ex-pobres, escolhem religiões novas, recém-fundadas.	novo rico	um	um	é	tem	https://pt.wiktionary.org/wiki/novo-rico					
núcleo atômico	núcleo	atômico	núcleo	atômico	NA	S	M	no	no	117			C	As forças nucleares mantém os núcleos (protons e neutrons) unidos no <strong>núcleo atômico</strong>.	É proibido manipular <strong>núcleos atómicos</strong>, assim como realizar fissão e fusão nuclear.	Em estado de repouso, essas partículas têm massa e formam os átomos e os <strong>núcleos atômicos</strong>.	núcleo atômico	um	um	é	tem						
olho gordo	olho	gordo	olho	gordo	NA	S	M	no	no	374			NC	Eles também querem ser amados e terem amigos sinceros sem <strong>olho gordo</strong> em suas fortunas materiais.	O nome turco do amuleto que protege contra o mau olhado e <strong>olho gordo</strong> é Nazar Boncuk.	Eles são usados para espantar o mau olhado, ou o " <strong>olho gordo</strong>", como alguns preferem dizer.	olho gordo	um	um	é	tem	https://pt.wiktionary.org/wiki/olho_gordo					
olho mágico	olho	mágico	olho	mágico	NA	S	M	no	no	70			NC	Espero você tocar a campainha olhando o escuro pelo <strong>olho mágico</strong>.	Quem atendeu a porta fui eu, ao ver o rosto do zelador no <strong>olho mágico</strong>.	Dificulte a ação dos infratores, se possível instale grades nas janelas, <strong>olho mágico</strong> e trancas nas portas	olho mágico	um	um	é	tem	https://pt.wiktionary.org/wiki/olho#Express.C3.B5es					
olho nu	olho	nu	olho	nu	NA	S	M	no	no	108			PC	Ilusionismo: pode gerar imagens imperceptíveis ao <strong>olho nu</strong>.	Escondidas no interior do metal, ficam invisíveis ao <strong>olho nu</strong>.	Ele acha que as mulheres sempre estão reclamando, mesmo com prosperidade a <strong>olhos nus</strong>.	olho nu	um	um	é	tem	https://pt.wiktionary.org/wiki/olho#Express.C3.B5es					
ônibus executivo	ônibus	executivo	ônibus	executivo	NA	S	M	no	no	23			C	Viagens em <strong>ônibus executivos</strong> estão orçadas em R$ 60.	Uma solução interessante são as "lotações", que é como eles chamam os <strong>ônibus executivos</strong>.	Tem <strong>ônibus executivo</strong>, táxi, carona de amigo a questão é o quanto você quer, ou pode, gastar.	ônibus executivo	um	um	é	tem	XX					
ovelha negra	ovelha	negra	ovelha	negro	NA	S	F	no	no	498			NC	Ele sempre foi o que você poderia chamar de <strong>ovelha negra</strong> da família.	Já Eduardo Cunha deve sair do processo como a <strong>ovelha negra</strong> do partido.	É claro que ela era a <strong>ovelha negra</strong> da família, muito diferente de todos os demais.	ovelha negra	uma	uma	é	tem	https://pt.wiktionary.org/wiki/ovelha_negra					
pão-duro	pão	duro	pão	duro	NA	S	M	no	yes	785			NC	Era um <strong>pão duro</strong>, um avarento.	O <strong>pão duro</strong> quer que seu cão seja tratado de graça.	Mas o <strong>pão duro</strong> não consegue pagar e recebe uma carta de cobrança.	pão duro	um	um	é	tem	https://pt.wiktionary.org/wiki/p%C3%A3o-duro					
papel higiênico	papel	higiênico	papel	higiênico	NA	S	M	no	no	3135			C	Forneciam sabonete, toalha e <strong>papel higiênico</strong>.	Coloque assentos nos vasos-sanitários, sabonete líquido, papel toalha individual e  <strong>papel higiênico</strong>  nos sanitários masculino e feminino dos alunos.	Pegue um pedaço de papel toalha ou  <strong>papel higiênico</strong>, embeba em álcool e passe sobre a placa; vá passando o papel até que não saia mais fuligem.	papel higiênico	um	um	é	tem	https://pt.wiktionary.org/wiki/papel_higi%C3%AAnico					
paraíso fiscal	paraíso	fiscal	paraíso	fiscal	NA	S	M	yes	no				PC	Como se os seus donos tivessem embolsado os ganhos e mandado para algum <strong>paraíso fiscal</strong>.	A ilha de Jersey é considerada um <strong>paraíso fiscal</strong>.	A empresa também é suspeita de manter contas em <strong>paraísos fiscais</strong> através da M-Cor Holding.	paraíso fiscal	um	um	é	tem						
pastor alemão	pastor	alemão	pastor	alemão	NA	S	M	no	no	593			NC	Pit Bulls, Rottweilers e <strong>pastores alemães</strong> também apresentam maior incidência de displasia coxo-femural.	Quando voltou aos Estados Unidos, ele trouxe um <strong>pastor alemão</strong> chamado Buddy.	As raças analisadas são, entre outras, o Golden Retriever e o <strong>pastor alemão</strong> para o câncer.	pastor alemão	um	um	é	tem	https://pt.wiktionary.org/wiki/pastor_alem%C3%A3o					
pau-mandado	pau	mandado	pau	mandado	NA	S	M	no	yes	463			NC	Este <strong>pau mandado</strong> dos poderosos da Europa, este borra-botas pensa que já o esquecemos?	Como um bom <strong>pau mandado</strong>, ele entregou as imensas riquezas de mineração e petróleo congolesas a corporações multinacionais.	A cidade não precisa de um <strong>pau mandado</strong> dos governos federal ou estadual para se sentir segura em esse processo.	pau mandado	um	um	é	tem	https://pt.wiktionary.org/wiki/pau-mandado					
pavio curto	pavio	curto	pavio	curto	NA	S	M	no	no	264			NC	É conhecido por seu <strong>pavio curto</strong> e comportamento agressivo.	De <strong>pavio curto</strong>, admitiu que não tinha talento para obedecer ordens.	É <strong>pavio curto</strong>, não tolera irreverências, coisas que acha fora de padrão.	pavio curto	um	um	é	tem	XX					
pé quente	pé	quente	pé	quente	NA	S	M	no	no	417			NC	Espero confirmar lá no final do campeonato esta fama de <strong>pé quente</strong>.	O <strong>pé quente</strong> Cláudio Assis é, no Brasil, um recordista de prêmios.	Sou <strong>pé quente</strong> e gosto de vestir a camisa do time em que estou jogando.	pé quente	um	um	é	tem	https://pt.wiktionary.org/wiki/p%C3%A9_quente					
pé-direito	pé	direito	pé	direito	NA	S	M	no	yes	4356			NC	Considera-se <strong>pé direito</strong> a altura compreendida entre o piso e o forro acabados.	Tijolos aparentes, <strong>pé direito</strong> alto e decoração moderna e bonitinha.	Todos os ambientes terão <strong>pé direito</strong> duplo.	pé direito	um	um	é	tem	https://pt.wiktionary.org/wiki/p%C3%A9-direito					
pé-frio	pé	frio	pé	frio	NA	S	M	no	yes	567			NC	<strong>Pé frio</strong> é pouco para definir certos graus de azar inexplicáveis.	Após perder duas copas do mundo no comando da seleção brasileira de futebol, amargou por muito tempo a fama de <strong>pé frio</strong>.	Ganhou até uma fama de "<strong>pé frio</strong>", por ter alguns rebaixamentos em seu currículo obviamente, folclore.	pé frio	um	um	é	tem	http://www.priberam.pt/dlpo/p%C3%A9-frio					
pente fino	pente	fino	pente	fino	NA	S	M	no	no	2831			NC	Nós agora temos que fazer uma operação <strong>pente fino</strong>.	Após um <strong>pente fino</strong>, a CGU apurou que a licitação para oito rotas foi forjada.	A Nature usa o método de amostragem, escolhendo um trabalho por edição para o <strong>pente fino</strong>.	pente fino	um	um	é	tem	XX					
peso morto	peso	morto	peso	morto	NA	S	M	no	no	978			NC	Mas além do <strong>peso morto</strong> eles geram outro desperdício.	Uma entidade, a paróquia, parecia ter se tornado um <strong>peso morto</strong> e inútil.	Muitos fracassam na vida e se tornam <strong>pesos mortos</strong>, porque não se dão conta de isso.	peso morto	um	um	é	tem	https://pt.wiktionary.org/wiki/peso_morto					
planta baixa	planta	baixa	planta	baixo	NA	S	F	no	no	225			PC	Finalizaremos a <strong>planta baixa</strong> do pavimento inferior.	Exercício: desenhar a <strong>planta baixa</strong> da figura abaixo na escala de 1:50.	Por-que não faz a <strong>planta baixa</strong> de seu espaço de trabalho e projeta da forma que lhe for mais confortável?	planta baixo	uma	uma	é	tem	https://pt.wikipedia.org/wiki/Planta_baixa					
poção mágica	poção	mágica	poção	mágico	NA	S	F	no	no	178			C	Para ser feliz não existe <strong>poção mágica</strong>.	De manhã, beba em jejum essa magnífica <strong>poção mágica</strong> de força e bem-estar.	Ela usou uma <strong>poção mágica</strong> para transportá-lo, enquanto ele dormia.	poção mágico	uma	uma	é	tem	XX					
pólo-aquático	pólo	aquático	pólo	aquático	NA	S	M	no	yes	54			C	Filho de brasileiros, ele foi vice-campeão olímpico de <strong>polo aquático</strong> pelos Estados Unidos em Pequim.	O <strong>pólo aquático</strong> também faz parte do quadro de desportos dos jogos olímpicos.	Os atletas amadores preferem utilizar o lago para natação ou um jogo de <strong>pólo aquático</strong>.	pólo-aquático	<!--x-->	<!--x-->	é	tem	http://www.priberam.pt/dlpo/p%C3%B3lo-aqu%C3%A1tico					
ponto cego	ponto	cego	ponto	cego	NA	S	M	no	no	3337			PC	Estes aparelhos simulam o movimento natural das ondas permitindo evitar <strong>pontos cegos</strong>.	Já no trânsito, a precariedade visual provoca excesso de <strong>pontos cegos</strong>.	Cabe então nos perguntarmos: quais são os <strong>pontos cegos</strong> da nossa ciência de hoje?	ponto cego	um	um	é	tem	XX					
ponto forte	ponto	forte	ponto	forte	NA	S	M	yes	no	7377			C	Quais são seus <strong>pontos fortes</strong>?	Ambas tem <strong>pontos fortes</strong> e fracos.	Todos nós temos <strong>pontos fortes</strong> e fragilidades.	ponto forte	um	um	é	tem	XX					
ponto fraco	ponto	fraco	ponto	fraco	NA	S	M	no	no	8489			C	O projeto era simétrico, sem <strong>pontos fracos</strong>.	E para reconhecer <strong>pontos fracos</strong> é necessário muita maturidade.	Descubra o que seus clientes valorizam e quais são seus <strong>pontos fracos</strong>.	ponto fraco	um	um	é	tem	https://pt.wiktionary.org/wiki/fraco#Substantivo					
prato feito	prato	feito	prato	feito	NA	S	M	no	no	728			PC	Escolhemos o <strong>prato feito</strong> por R$ 15,00.	Se você for comer na rua o prato típico é o Tali, que em Hindi quer dizer <strong>prato feito</strong>.	Só tinha um cara, que eu saquei que devia ser o zelador, comendo um <strong>prato feito</strong>, sentado perto de uma das janelas.	prato feito	um	um	é	tem	https://pt.wiktionary.org/wiki/prato_feito					
primeira infância	infância	primeira	infância	primeiro	AN	S	F	no	no	1526			PC	Isso se desenvolve desde a <strong>primeira infância</strong>.	Da minha <strong>primeira infância</strong> só tenho lembranças felizes.	Apavorei-me com o tema: diversidade sexual na <strong>primeira infância</strong>.	primeiro infância	uma	uma	é	tem	https://pt.wiktionary.org/wiki/inf%C3%A2ncia#Express.C3.B5es					
primeira mão	mão	primeira	mão	primeiro	AN	S	F	no	no	126			NC	Lembram que este blog deu em <strong>primeira mão</strong> que a Procuradoria Geral da República tinha publicado um site explicando o Mensalão para as crianças?	Encerrada a ligação, me dei conta de que tinha informações extraordinárias, obtidas de uma testemunha de <strong>primeira mão</strong>.	Matilde tinha caído depois que o Coturno Noturno denunciou, em <strong>primeira mão</strong>, as suas compras no Duty Free com dinheiro público.	primeiro mão	uma	uma	é	tem	https://pt.wiktionary.org/wiki/m%C3%A3o#Express.C3.B5es					
primeira necessidade	necessidade	primeira	necessidade	primeiro	AN	S	F	no	no	663			PC	Na ordem de prioridade dos usos da água, essa é a <strong>primeira necessidade</strong> a ser atendida.	Os proprietários dos imóveis poderão usar das águas do aqueduto para as <strong>primeiras necessidades</strong> da vida.	O possuidor do imóvel superior não poderá poluir as águas indispensáveis às <strong>primeiras necessidades</strong> da vida dos possuidores dos imóveis inferiores.	primeiro necessidade	uma	uma	é	tem	https://pt.wiktionary.org/wiki/necessidade#Express.C3.B5es					
primeira-dama	dama	primeira	dama	primeiro	AN	S	F	no	yes	2644			NC	Foram padrinhos o prefeito e a <strong>primeira dama</strong> de Patrocínio Paulista.	Jorginho conta que Luviana é uma <strong>primeira dama</strong> com jeito de primeira ministra.	Siqueira deve viajar o nordeste em companhia da <strong>primeira dama</strong>...	primeiro dama	uma	uma	é	tem	https://pt.wiktionary.org/wiki/primeira-dama					
primeiro ministro	ministro	primeiro	ministro	primeiro	AN	S	M	no	no	75449			PC	Sócrates foi um péssimo <strong>primeiro ministro</strong>?	Considere-se o <strong>primeiro ministro</strong> britânico David Cameron.	Tancredo Neves abriu a lista de <strong>primeiros ministros</strong>.	primeiro ministro	um	um	é	tem	https://pt.wiktionary.org/wiki/primeiro-ministro					
primeiro plano	plano	primeiro	plano	primeiro	AN	S	M	no	no	6294			NC	Um <strong>primeiro plano</strong> mostra a tensão de seu semblante.	Eu realmente consigo trazer a emoção para o <strong>primeiro plano</strong>.	O sentido da sua vida ficou em <strong>primeiro plano</strong>.	primeiro plano	um	um	é	tem	XX					
príncipe encantado	príncipe	encantado	príncipe	encantado	NA	S	M	no	no	730			PC	Elas ainda são criadas para acreditar no <strong>príncipe encantado</strong>.	Eu nunca esperei um <strong>príncipe encantado</strong> pelo contrário, sempre achei os sapos mais interessantes!	As moças assistiam ao filme Sissi a imperatriz e sonhavam com o <strong>príncipe encantado</strong>.	príncipe encantado	um	um	é	tem	XX					
processo seletivo	processo	seletivo	processo	seletivo	NA	S	M	no	no	5441			C	<strong>Processo seletivo</strong> inclui entrevista pessoal.	As inscrições para o <strong>processo seletivo</strong> são gratuitas.	Será publicado edital com informações sobre o <strong>processo seletivo</strong>.	processo seletivo	um	um	é	tem	https://pt.wikipedia.org/wiki/processo_seletivo					
pronto-socorro	socorro	pronto	socorro	pronto	AN	S	M	no	yes	2546			PC	Há crianças que chegam esqueléticas ao <strong>pronto-socorro</strong>.	A explosão acabou com 18 hospitais e 32 postos de <strong>pronto-socorro</strong>.	Além disso, diariamente pessoas chegam no <strong>pronto-socorro</strong> com ferimentos de bala.	pronto socorro	um	um	é	tem	http://www.priberam.pt/dlpo/pronto-socorro					
puro-sangue	sangue	puro	sangue	puro	AN	S	M	no	yes	5222			NC	A paixão é como um legítimo cavalo <strong>puro sangue</strong>.	Que fazer se os outros cavalos grandes e <strong>puros sangue</strong> tinham toda a prioridade?	Acredita-se que seja o antecessor do cavalo árabe e de outros <strong>puros sangues</strong>.	puro sangue	<!--x-->	<!--x-->	é	tem	http://www.priberam.pt/dlpo/puro-sangue					
quadro-negro	quadro	negro	quadro	negro	NA	S	M	no	yes	743			PC	O primeiro cardápio da rede era escrito em um <strong>quadro negro</strong>.	Quando muito diríamos que só são entes de giz no <strong>quadro negro</strong>.	Mário taca um giz em Suzana, enquanto ela escreve no <strong>quadro negro</strong>.	quadro negro	um	um	é	tem	https://pt.wiktionary.org/wiki/quadro-negro					
queda livre	queda	livre	queda	livre	NA	S	F	yes	no	861			C	De facto o PIB grego permaneceu em uma <strong>queda livre</strong> ininterrupta.	Jovens curtindo a adrenalina da <strong>queda livre</strong> em direção ao abismo.	Mesmo o preço no mercado europeu tem estado em <strong>queda livre</strong>!	queda livre	uma	uma	é	tem	https://pt.wikipedia.org/wiki/Queda_livre					
quinta categoria	categoria	quinta	categoria	quinto	AN	S	F	no	no	3277			NC	Somos um carro novo rodando a todo vapor com combustível de <strong>quinta categoria</strong>.	Acabou o capítulo de "Amor e Revolução", um folhetim de <strong>quinta categoria</strong>.	Espetáculo de <strong>quinta categoria</strong> com produção onerosa para o bolso do contribuinte.	quinto categoria	uma	uma	é	tem	XX					
rede social	rede	social	rede	social	NA	S	F	yes	no	125533			C	Veja as <strong>redes sociais</strong> como Facebook.	O Twitter não é uma <strong>rede social</strong>.	As <strong>redes sociais</strong> são os sites mais acessados.	rede social	uma	uma	é	tem	https://pt.wiktionary.org/wiki/rede#Express.C3.B5es					
regime político	regime	político	regime	político	NA	S	M	no	no	485			C	A democracia é o seu <strong>regime político</strong>.	O absolutismo foi abolido em favor do <strong>regime político</strong> liberal.	Os gregos distinguiam três <strong>regimes políticos</strong>: monarquia, aristocracia e democracia.	regime político	um	um	é	tem						
relógio analógico	relógio	analógico	relógio	analógico	NA	S	M	no	no	8			C	Vem com formas coloridas e <strong>relógio analógico</strong>.	A leitura de um <strong>relógio analógica</strong> em ângulo muda de acordo com a posição de quem lê.	Engastes de alumínio escovado nas portas e volante dão uma dose extra de requinte ao interior do modelo, assim como o generoso <strong>relógio analógico</strong> no centro do console.	relógio analógico	um	um	é	tem						
relógio biológico	relógio	biológico	relógio	biológico	NA	S	M	no	no	1301			C	O <strong>relógio biológico</strong> responde melhor se habituado a horários regulares.	O DNA mitocondrial funciona, assim, como um verdadeiro <strong>relógio biológico</strong>.	A melatonina é a chave que controla o <strong>relógio biológico</strong> do ser humano.	relógio biológico	um	um	é	tem	https://pt.wiktionary.org/wiki/biol%C3%B3gico#Express.C3.B5es					
reta final	reta	final	reta	final	NA	S	F	no	no	8727			NC	Estávamos na <strong>reta final</strong> de provas.	Foram nove partidas sem derrota na <strong>reta final</strong>.	Isto tudo às vésperas da <strong>reta final</strong> da competição.	reta final	uma	uma	é	tem	XX					
